,artist(s),track,market,release date,danceability,energy,loudness,mode,acousticness,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,language,languages,lang 1,lang 2,lang 3
12,Were-vana,Casanova,fr,1/14/21,0.711,0.844,-3.927,0,0.0447,0.0891,1.18e-05,0.0672,0.802,92.956,262373,4,fr,"['fr', 'co']",0.854545455,0.145454545,0.0
13,"Dua Lipa, Angèle",Fever,fr,1/14/21,0.868,0.693,-7.052,0,0.0597,0.181,0.00399,0.106,0.396,114.999,156911,4,en,['en'],1.0,0.0,0.0
14,Masked Wolf,Astronaut In The Ocean,fr,1/14/21,0.778,0.695,-6.865,0,0.175,0.0913,0.0,0.15,0.472,149.996,132780,4,en,"['en', 'mr']",0.980392157,0.019607843,0.0
15,"Riton, Nightcrawlers",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,fr,1/14/21,0.824,0.862,-3.424,1,0.0076,0.126,0.000132,0.303,0.801,122.98,169153,4,en,"['en', 'da']",0.983606557,0.016393443,0.0
16,SCH,Mannschaft (feat. Freeze Corleone),fr,1/14/21,0.833,0.574,-8.74,0,0.195,0.321,0.0,0.142,0.514,130.003,227147,4,fr,"['fr', 'co', 'en']",0.882352941,0.058823529,0.039215686
17,The Weeknd,Save Your Tears,fr,1/14/21,0.68,0.826,-5.487,1,0.0212,0.0309,1.24e-05,0.543,0.644,118.051,215627,4,en,"['en', 'ig']",0.972222222,0.027777778,0.0
18,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",Bande organisée,fr,1/14/21,0.901,0.939,-2.762,1,0.117,0.274,0.0,0.0643,0.805,142.948,356347,4,fr,"['fr', 'es']",0.9,0.1,0.0
19,"Bad Bunny, Jhay Cortez",DÁKITI,fr,1/14/21,0.731,0.573,-10.059,0,0.401,0.0544,5.22e-05,0.113,0.145,109.928,205090,4,es,"['es', 'it']",0.960784314,0.039215686,0.0
20,"Alonzo, Jul, Naps",La Seleçao,fr,1/14/21,0.825,0.878,-5.485,0,0.128,0.186,8.94e-05,0.0963,0.847,126.994,197520,4,fr,"['fr', 'pt', 'en']",0.822222222,0.133333333,0.022222222
21,Jok'air,Elles ont trop joué avec mon cœur,fr,1/14/21,0.686,0.565,-7.98,1,0.158,0.0469,0.0405,0.122,0.413,152.101,223453,4,fr,"['fr', 'co', 'id']",0.96,0.02,0.02
22,Sadek,Kimono (feat. SCH et Ninho),fr,1/14/21,0.76,0.471,-9.195,0,0.28,0.345,3.17e-06,0.343,0.486,82.007,214259,4,fr,"['fr', 'ar', 'en']",0.975609756,0.008130081,0.008130081
23,"Amel Bent, Hatik","1,2,3",fr,1/14/21,0.722,0.497,-7.779,0,0.767,0.0632,0.0,0.122,0.684,147.794,225998,4,fr,"['fr', 'und', 'it']",0.820512821,0.128205128,0.038461538
24,Ofenbach,Wasted Love (feat. Lagique),fr,1/14/21,0.734,0.855,-4.578,0,0.0821,0.135,4.73e-06,0.0901,0.54,121.955,139563,4,en,"['en', 'es']",0.642857143,0.357142857,0.0
25,"Marwa Loud, Eva",Allo,fr,1/14/21,0.77,0.748,-4.944,1,0.00651,0.0449,0.00402,0.144,0.263,101.501,143480,4,fr,"['fr', 'ar', 'en']",0.934782609,0.043478261,0.02173913
26,Gazo,KASSAV (feat. Tiakola),fr,1/14/21,0.759,0.523,-9.886,0,0.649,0.321,1.33e-05,0.269,0.766,144.109,210253,4,fr,"['fr', 'en', 'mg']",0.912280702,0.035087719,0.035087719
27,Ninho,Tout en Gucci,fr,1/14/21,0.776,0.662,-7.586,0,0.548,0.233,5.1e-06,0.117,0.5,121.987,227118,4,fr,"['fr', 'en', 'ar']",0.905660377,0.075471698,0.018867925
28,"Ozuna, Doja Cat, Sia",Del Mar,fr,1/14/21,0.759,0.636,-5.585,1,0.0224,0.0369,0.000143,0.166,0.536,109.976,214507,4,es,"['es', 'en', 'ar']",0.861538462,0.046153846,0.015384615
29,Therapie TAXI,Eté 90,fr,1/14/21,0.649,0.618,-7.691,1,0.0215,0.0779,1.16e-06,0.0911,0.381,92.02,192613,4,fr,"['fr', 'de']",0.979166667,0.020833333,0.0
30,SCH,Marché noir,fr,1/14/21,0.42,0.553,-8.588,0,0.406,0.466,0.00197,0.541,0.198,80.118,210973,4,fr,"['fr', 'en', 'co']",0.931818182,0.045454545,0.022727273
31,"ATB, Topic, A7S",Your Love (9PM),fr,1/14/21,0.669,0.784,-5.603,1,0.194,0.112,6.28e-06,0.115,0.517,125.993,150053,4,en,['en'],1.0,0.0,0.0
32,SCH,Crack,fr,1/14/21,0.516,0.874,-2.571,1,0.0864,0.186,0.0,0.173,0.391,169.561,297520,3,fr,"['fr', 'en', 'es']",0.885714286,0.057142857,0.028571429
33,"SDM, Booba",Daddy,fr,1/14/21,0.588,0.521,-9.461,1,0.0678,0.0329,0.149,0.123,0.337,85.012,260173,4,fr,"['fr', 'en', 'und']",0.935483871,0.032258065,0.032258065
34,Djadja & Dinaz,À cœur ouvert,fr,1/14/21,0.782,0.549,-7.527,0,0.416,0.114,3.25e-05,0.087,0.717,139.021,165520,4,fr,['fr'],1.0,0.0,0.0
35,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,fr,1/14/21,0.586,0.616,-7.964,1,0.182,0.0324,0.0,0.0927,0.719,148.088,242096,4,es,"['es', 'en', 'it']",0.444444444,0.194444444,0.138888889
36,Nathan Evans,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,fr,1/14/21,0.722,0.893,-3.255,0,0.0441,0.0475,0.000937,0.0673,0.439,119.932,116750,4,en,['en'],1.0,0.0,0.0
37,OBOY,Cabeza,fr,1/14/21,0.884,0.566,-7.398,0,0.123,0.046,3.25e-06,0.106,0.565,106.983,148035,4,fr,"['fr', 'es']",0.982142857,0.017857143,0.0
38,David Guetta,Memories (feat. Kid Cudi) - 2021 Remix,fr,1/14/21,0.764,0.32,-7.209,1,0.837,0.0546,0.0,0.0822,0.575,91.019,189486,4,en,['en'],1.0,0.0,0.0
39,Eva,Cœur noir,fr,1/14/21,0.412,0.409,-14.382,0,0.0107,0.0579,0.861,0.0874,0.656,151.016,96395,1,fr,['fr'],1.0,0.0,0.0
40,The Weeknd,Blinding Lights,fr,1/14/21,0.514,0.73,-5.934,1,0.00146,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4,en,['en'],1.0,0.0,0.0
41,SCH,Loup noir,fr,1/14/21,0.649,0.626,-8.39,0,0.105,0.415,0.0,0.0893,0.104,65.342,160453,4,fr,"['fr', 'en']",0.970588235,0.029411765,0.0
42,Imagine Dragons,Follow You,fr,1/14/21,0.542,0.732,-5.956,1,0.00209,0.0521,7.92e-05,0.496,0.489,124.912,175644,4,en,"['en', 'ha', 'ro']",0.894736842,0.052631579,0.052631579
43,Zoe Wees,Girls Like Us,fr,1/14/21,0.444,0.648,-4.955,1,0.288,0.0476,0.0,0.059,0.171,125.706,189000,5,en,['en'],1.0,0.0,0.0
44,Landy,Médusa,fr,1/14/21,0.886,0.604,-7.293,1,0.194,0.208,3.15e-06,0.107,0.383,98.023,305333,4,fr,"['fr', 'pt', 'ar']",0.843137255,0.117647059,0.019607843
45,24kGoldn,Mood (feat. iann dior),fr,1/14/21,0.48,0.602,-6.335,0,0.487,0.368,0.0,0.0848,0.269,179.798,213333,4,en,['en'],1.0,0.0,0.0
46,DJ Snake,Selfish Love (with Selena Gomez),fr,1/14/21,0.723,0.646,-7.973,0,0.0206,0.102,0.352,0.0994,0.443,110.971,168649,4,en,"['en', 'tl', 'es']",0.923076923,0.051282051,0.025641026
47,AURORA,Runaway,fr,1/14/21,0.421,0.277,-10.34,1,0.637,0.0368,7.18e-05,0.103,0.13,115.153,248827,4,en,"['en', 'it']",0.981818182,0.018181818,0.0
48,"Jason Derulo, Nuka",Love Not War (The Tampa Beat),fr,1/14/21,0.738,0.85,-3.049,1,0.105,0.0642,0.0,0.23,0.865,98.013,192921,4,en,['en'],1.0,0.0,0.0
49,Tiësto,The Business,fr,1/14/21,0.798,0.62,-7.079,0,0.414,0.232,0.0192,0.112,0.235,120.031,164000,4,en,['en'],1.0,0.0,0.0
50,"Majestic, Boney M.",Rasputin,fr,1/14/21,0.639,0.893,-6.509,1,0.289,0.036,0.00816,0.222,0.966,126.143,351573,4,en,"['en', 'vi']",0.857142857,0.142857143,0.0
51,Damso,J’avais juste envie d’écrire.,fr,1/14/21,0.43,0.418,-6.598,0,0.701,0.0469,0.000515,0.159,0.508,83.04,155789,3,fr,"['fr', 'es', 'en']",0.884615385,0.076923077,0.038461538
52,"Koba LaD, Maes, Zed",Coffre plein,fr,1/14/21,0.758,0.56,-6.69,0,0.093,0.0639,0.0,0.104,0.606,149.893,220666,4,fr,"['fr', 'en', 'es']",0.880597015,0.104477612,0.014925373
53,Ninho,La vie qu'on mène,fr,1/14/21,0.8,0.756,-4.4,0,0.687,0.0367,2.06e-06,0.111,0.456,113.204,193444,3,fr,"['fr', 'en', 'ru']",0.909090909,0.068181818,0.022727273
54,GIMS,GJS (feat. Jul & SCH),fr,1/14/21,0.827,0.844,-5.934,0,0.395,0.269,0.0,0.17,0.692,137.002,247578,4,fr,"['fr', 'ar', 'en']",0.888888889,0.03030303,0.02020202
55,Duncan Laurence,Arcade,fr,1/14/21,0.45,0.329,-12.603,0,0.818,0.0441,0.00109,0.135,0.266,71.884,183624,3,en,['en'],1.0,0.0,0.0
56,Maroon 5,Beautiful Mistakes (feat. Megan Thee Stallion),fr,1/14/21,0.713,0.676,-5.483,1,0.0377,0.027,0.0,0.154,0.721,99.048,227395,4,en,"['en', 'id']",0.903225806,0.096774194,0.0
57,PLK,Pilote (feat. Hamza),fr,1/14/21,0.732,0.73,-4.714,1,0.547,0.0747,0.0,0.118,0.909,112.601,168408,3,fr,"['fr', 'da', 'en']",0.953125,0.015625,0.015625
58,M. Pokora,Si on disait,fr,1/14/21,0.584,0.422,-7.929,1,0.848,0.0579,0.0,0.138,0.259,92.944,190001,4,fr,['fr'],1.0,0.0,0.0
59,1PLIKÉ140,LOPSA STORY,fr,1/14/21,0.793,0.421,-8.559,0,0.816,0.308,0.0,0.121,0.419,99.806,176280,4,fr,['fr'],1.0,0.0,0.0
60,Damso,911,fr,1/14/21,0.795,0.655,-3.815,1,0.076,0.0422,1.76e-06,0.296,0.744,93.029,215891,4,fr,"['fr', 'en', 'ar']",0.742857143,0.228571429,0.028571429
61,Doja Cat,Kiss Me More (feat. SZA),fr,1/14/21,0.762,0.701,-3.541,1,0.235,0.0286,0.000158,0.123,0.742,110.968,208867,4,en,"['en', 'es', 'ca']",0.863636364,0.090909091,0.045454545
62,Ninho,Lettre à une femme,fr,1/14/21,0.487,0.398,-9.901,0,0.835,0.0697,0.0,0.12,0.905,149.367,157766,4,fr,"['fr', 'en', 'hi']",0.921052632,0.052631579,0.026315789
63,Robin Schulz,All We Got (feat. KIDDO),fr,1/14/21,0.504,0.76,-4.246,1,0.286,0.0426,0.0,0.151,0.64,183.933,190218,4,en,['en'],1.0,0.0,0.0
64,Gazo,TCHIN 2X,fr,1/14/21,0.761,0.679,-7.983,0,0.208,0.0539,0.00443,0.304,0.266,145.997,223813,4,fr,"['fr', 'ru', 'en']",0.863636364,0.060606061,0.03030303
65,"Jul, SCH",Mother Fuck,fr,1/14/21,0.807,0.87,-5.109,1,0.448,0.0812,0.000278,0.0964,0.566,139.994,216867,4,fr,"['fr', 'nl', 'es']",0.824561404,0.140350877,0.01754386
66,Djadja & Dinaz,Plein les poches,fr,1/14/21,0.94,0.597,-7.785,0,0.159,0.105,3.39e-05,0.0954,0.866,132.044,165413,4,fr,['fr'],1.0,0.0,0.0
67,"Grand Corps Malade, Louane",Derrière le brouillard,fr,1/14/21,0.68,0.616,-8.528,0,0.167,0.107,0.0,0.127,0.229,109.842,253013,4,fr,['fr'],1.0,0.0,0.0
68,Wejdene,Réfléchir,fr,1/14/21,0.9,0.577,-4.692,0,0.51,0.0546,0.0,0.092,0.602,107.033,181180,4,fr,"['fr', 'ar', 'en']",0.914285714,0.057142857,0.028571429
69,Vianney,beau-papa,fr,1/14/21,0.746,0.506,-6.016,0,0.364,0.0367,0.0,0.123,0.486,122.044,197562,4,fr,['fr'],1.0,0.0,0.0
70,Joé Dwèt Filé,Jolie madame (feat. Ronisia),fr,1/14/21,0.758,0.573,-6.418,1,0.265,0.0748,0.0,0.116,0.875,160.001,183865,4,fr,"['fr', 'co', 'en']",0.932432432,0.013513514,0.013513514
71,"Lil Tjay, 6LACK",Calling My Phone,fr,1/14/21,0.907,0.393,-7.636,0,0.451,0.0539,1.35e-06,0.135,0.202,104.949,205458,4,en,['en'],1.0,0.0,0.0
72,CJ,Whoopty,fr,1/14/21,0.719,0.648,-7.6,0,0.2,0.125,0.0,0.127,0.66,140.201,123263,4,en,['en'],1.0,0.0,0.0
73,"Sia, David Guetta",Floating Through Space,fr,1/14/21,0.575,0.844,-4.89,0,0.00172,0.072,0.0,0.114,0.277,104.914,177801,4,de,"['de', 'en']",0.857142857,0.142857143,0.0
74,Booba,RATPI WORLD,fr,1/14/21,0.792,0.644,-8.525,1,0.12,0.0657,0.0135,0.117,0.677,139.98,135595,4,fr,"['fr', 'no']",0.966666667,0.033333333,0.0
75,"DA Uzi, Ninho, SCH","La vie du binks (feat. Hornet La Frappe, Leto, Sadek, Soprano)",fr,1/14/21,0.794,0.845,-4.646,1,0.227,0.265,0.0,0.843,0.627,138.325,321653,4,fr,"['fr', 'en', 'ar']",0.86,0.07,0.03
76,BU$HI,Obito,fr,1/14/21,0.654,0.364,-13.831,0,0.0392,0.0933,0.00544,0.127,0.0896,80.306,131522,4,fr,['fr'],1.0,0.0,0.0
77,Lucenzo,Bailamos,fr,1/14/21,0.627,0.888,-4.523,0,0.0528,0.0388,0.00237,0.136,0.591,99.905,214067,4,es,['es'],1.0,0.0,0.0
78,"SDM, PLK",Le bruit des applaudissements,fr,1/14/21,0.62,0.606,-7.423,1,0.559,0.196,3.72e-05,0.138,0.549,185.912,215560,3,fr,"['fr', 'es']",0.836065574,0.163934426,0.0
79,Hatik,Angela,fr,1/14/21,0.668,0.563,-8.23,1,0.649,0.0305,0.000347,0.11,0.289,130.366,201786,4,fr,['fr'],1.0,0.0,0.0
80,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",fr,1/14/21,0.799,0.66,-6.153,0,0.256,0.079,0.0,0.111,0.471,140.04,195429,4,en,['en'],1.0,0.0,0.0
81,SCH,Grand bain,fr,1/14/21,0.595,0.59,-8.738,0,0.16,0.27,0.0226,0.116,0.336,135.08,173653,4,fr,['fr'],1.0,0.0,0.0
82,Olivia Rodrigo,drivers license,fr,1/14/21,0.585,0.436,-8.761,1,0.721,0.0601,1.31e-05,0.105,0.132,143.874,242014,4,en,['en'],1.0,0.0,0.0
83,47ter,Vivre,fr,1/14/21,0.344,0.299,-13.274,0,0.921,0.0288,0.942,0.0646,0.134,95.376,191053,3,fr,['fr'],1.0,0.0,0.0
84,Leto,Vie de star (feat. Ninho),fr,1/14/21,0.4,0.586,-7.569,0,0.845,0.074,0.0,0.1,0.282,170.544,202680,3,fr,"['fr', 'ja']",0.967741935,0.032258065,0.0
85,Tones And I,Dance Monkey,fr,1/14/21,0.824,0.588,-6.4,0,0.692,0.0924,0.000104,0.149,0.513,98.027,209438,4,en,"['en', 'it']",0.980392157,0.019607843,0.0
86,Harry Styles,Watermelon Sugar,fr,1/14/21,0.548,0.816,-4.209,1,0.122,0.0465,0.0,0.335,0.557,95.39,174000,4,en,['en'],1.0,0.0,0.0
87,"Grand Corps Malade, Camille Lellouche",Mais je t'aime,fr,1/14/21,0.476,0.412,-10.529,0,0.796,0.131,9.04e-06,0.112,0.209,179.783,270000,3,fr,['fr'],1.0,0.0,0.0
88,"Naza, Niska",Joli bébé,fr,1/14/21,0.694,0.632,-7.203,0,0.576,0.128,1.21e-06,0.104,0.243,155.01,178312,4,fr,['fr'],1.0,0.0,0.0
89,SCH,Corrida,fr,1/14/21,0.789,0.616,-7.518,1,0.0926,0.147,0.0,0.0975,0.574,120.011,170040,4,fr,['fr'],1.0,0.0,0.0
90,SCH,Parano,fr,1/14/21,0.412,0.658,-12.051,0,4.52e-05,0.0708,0.000774,0.176,0.454,163.071,168406,4,fr,"['fr', 'co', 'en']",0.959183673,0.020408163,0.020408163
91,Niska,Bolivienne,fr,1/14/21,0.799,0.674,-5.898,0,0.182,0.0794,3.68e-05,0.132,0.482,98.011,165635,4,fr,['fr'],1.0,0.0,0.0
92,Dua Lipa,Levitating (feat. DaBaby),fr,1/14/21,0.702,0.825,-3.787,0,0.00883,0.0601,0.0,0.0674,0.915,102.977,203064,4,en,['en'],1.0,0.0,0.0
93,Tom Gregory,Rather Be You,fr,1/14/21,0.748,0.71,-4.469,0,0.177,0.0366,0.0,0.171,0.603,89.003,172618,4,tr,"['tr', 'en']",0.906976744,0.093023256,0.0
94,Major Lazer,C'est cuit (feat. Aya Nakamura & Swae Lee),fr,1/14/21,0.694,0.626,-5.038,1,0.00621,0.248,0.0,0.0682,0.513,97.773,156818,4,fr,"['fr', 'en', 'ar']",0.786666667,0.2,0.013333333
95,The Kid LAROI,WITHOUT YOU,fr,1/14/21,0.662,0.413,-7.357,1,0.213,0.0299,0.0,0.134,0.467,93.005,161385,4,en,['en'],1.0,0.0,0.0
96,Lil Nas X,HOLIDAY,fr,1/14/21,0.81,0.511,-6.924,0,0.12,0.164,0.0,0.0832,0.837,151.947,154998,4,en,"['en', 'zh-CN']",0.94,0.06,0.0
97,Ava Max,My Head & My Heart,fr,1/14/21,0.614,0.934,-3.709,0,0.0697,0.07,0.0,0.121,0.436,116.001,174760,4,en,"['en', 'es']",0.578947368,0.421052632,0.0
98,"Vladimir Cauchemar, Laylow, Asdek, Rim'K",Brrr,fr,1/14/21,0.619,0.581,-7.013,0,0.0351,0.0573,0.0646,0.254,0.248,117.532,97959,5,fr,"['fr', 'hr', 'nl']",0.951219512,0.024390244,0.024390244
99,Sadek,Alliance (feat. Vald),fr,1/14/21,0.81,0.998,-14.461,1,0.00114,0.0586,0.878,0.0361,0.0283,119.991,128000,4,fr,['fr'],1.0,0.0,0.0
100,Zola,9 1 1 3 (feat. SCH),fr,1/14/21,0.909,0.636,-6.581,0,0.168,0.236,0.000227,0.346,0.42,100.954,159012,4,fr,"['fr', 'und', 'en']",0.928571429,0.053571429,0.017857143
101,"Booba, Maes",VVV,fr,1/14/21,0.534,0.787,-6.129,0,0.31,0.358,0.0,0.183,0.224,79.206,175641,4,fr,"['fr', 'es', 'en']",0.773584906,0.094339623,0.037735849
102,SCH,Zone à danger,fr,1/14/21,0.742,0.627,-7.447,1,0.182,0.102,0.0,0.0891,0.409,143.993,214400,4,fr,['fr'],1.0,0.0,0.0
103,Leto,Macaroni (feat. Ninho),fr,1/14/21,0.726,0.653,-6.129,1,0.243,0.162,3.92e-06,0.139,0.187,162.091,195324,4,fr,"['fr', 'en', 'eo']",0.930555556,0.041666667,0.013888889
104,Angelcy,Laisser faire,fr,1/14/21,0.718,0.787,-5.126,0,0.577,0.0662,0.0,0.216,0.785,94.95,152353,4,fr,['fr'],1.0,0.0,0.0
105,Jérémy Frerot,Un homme,fr,1/14/21,0.447,0.343,-8.677,1,0.692,0.029,0.00067,0.0689,0.641,130.917,161587,4,fr,['fr'],1.0,0.0,0.0
106,Gazo,EUPHON,fr,1/14/21,0.814,0.584,-6.973,1,0.0434,0.123,0.0,0.0883,0.501,139.99,201027,4,fr,"['fr', 'en']",0.926829268,0.073170732,0.0
107,Kaaris,Ch√¢teau noir,fr,1/14/21,0.828,0.79,-7.094,0,0.234,0.226,0.0,0.103,0.727,140.039,209447,4,fr,"['fr', 'en', 'gu']",0.839285714,0.053571429,0.017857143
108,SCH,Fournaise,fr,1/14/21,0.787,0.506,-9.126,0,0.158,0.154,0.00032,0.0892,0.203,119.952,209680,4,fr,['fr'],1.0,0.0,0.0
109,Larry,Booster,fr,1/14/21,0.629,0.551,-5.402,1,0.0418,0.0263,1.18e-06,0.108,0.699,111.961,268880,4,fr,"['fr', 'gd', 'lb']",0.884057971,0.057971014,0.028985507
110,"Dadju, Tiakola",Dieu merci,fr,1/14/21,0.718,0.524,-7.183,0,0.395,0.0587,0.0,0.215,0.825,133.998,211649,4,fr,"['fr', 'en', 'mg']",0.6,0.366666667,0.033333333
111,Freeze corleone,Jérémy Frerot,fr,1/14/21,0.645,0.545,-10.675,0,0.375,0.0511,2.32e-05,0.106,0.0379,137.09,268947,4,fr,"['fr', 'en', 'da']",0.897435897,0.051282051,0.025641026
112,Pop Smoke,Dior,fr,1/14/21,0.548,0.805,-5.732,1,0.212,0.351,0.000389,0.408,0.648,142.094,216387,4,en,"['en', 'fr']",0.940298507,0.059701493,0.0
113,Kendji Girac,Evidemment,fr,1/14/21,0.64,0.715,-7.041,0,0.675,0.0945,6.26e-05,0.115,0.397,92.878,198640,4,fr,"['fr', 'ro', 'co']",0.727272727,0.227272727,0.03030303
114,"GIMS, Dadju, Slimane",BELLE,fr,1/14/21,0.524,0.504,-7.641,1,0.82,0.05,0.0,0.0817,0.327,123.66,333265,4,fr,"['fr', 'ca']",0.972972973,0.027027027,0.0
115,"Gazo, Freeze corleone",Drill FR 4,fr,1/14/21,0.751,0.774,-5.399,0,0.188,0.387,0.0,0.24,0.459,137.0,254000,4,fr,"['fr', 'en', 'da']",0.861538462,0.046153846,0.015384615
116,Pop Smoke,What You Know Bout Love,fr,1/14/21,0.709,0.548,-8.493,1,0.65,0.353,1.59e-06,0.133,0.543,83.995,160000,4,en,['en'],1.0,0.0,0.0
117,Dua Lipa,Love Again,fr,1/14/21,0.636,0.822,-4.321,0,0.0534,0.0507,1.99e-05,0.121,0.338,127.225,147402,4,en,"['en', 'es']",0.962264151,0.037735849,0.0
118,UZI,À la fête,fr,1/14/21,0.884,0.656,-6.707,0,0.334,0.169,0.0,0.135,0.431,100.381,205240,3,fr,"['fr', 'en', 'co']",0.766666667,0.2,0.033333333
119,SAINt JHN,Roses - Imanbek Remix,fr,1/14/21,0.769,0.719,-5.472,1,0.0143,0.0474,0.00777,0.359,0.863,121.955,176867,4,en,['en'],1.0,0.0,0.0
120,Giveon,Heartbreak Anniversary,fr,1/14/21,0.449,0.465,-8.964,1,0.524,0.0791,1.02e-06,0.303,0.543,89.087,198371,3,en,['en'],1.0,0.0,0.0
121,"Naza, KeBlack, Naps",Ma Play,fr,1/14/21,0.791,0.582,-7.323,0,0.0114,0.286,0.0,0.35,0.443,162.991,181812,4,fr,['fr'],1.0,0.0,0.0
122,"Naps, Ninho",6.3,fr,1/14/21,0.875,0.613,-7.229,0,0.688,0.21,0.0,0.114,0.752,119.964,212320,4,fr,"['fr', 'en', 'sv']",0.814814815,0.12962963,0.055555556
123,Kali Uchis,telepatía,fr,1/14/21,0.653,0.524,-9.016,0,0.112,0.0502,0.0,0.203,0.553,83.97,160191,4,en,['en'],1.0,0.0,0.0
124,"Joel Corry, RAYE, David Guetta",BED,fr,1/14/21,0.671,0.782,-4.593,1,0.0142,0.0341,0.00221,0.333,0.618,123.989,178088,4,en,"['en', 'es', 'fr']",0.9,0.03,0.02
125,Gazo,A$AP,fr,1/14/21,0.428,0.754,-6.416,0,0.3,0.179,0.0,0.136,0.394,125.948,315773,4,fr,"['fr', 'no', 'en']",0.777777778,0.088888889,0.044444444
126,Soprano,Près des étoiles,fr,1/14/21,0.532,0.523,-9.523,0,0.665,0.0304,3.91e-06,0.141,0.237,139.927,207429,4,fr,['fr'],1.0,0.0,0.0
127,"Hatik, Jok'air",La meilleure,fr,1/14/21,0.757,0.517,-8.499,0,0.652,0.0672,0.00527,0.173,0.218,102.008,185120,4,fr,['fr'],1.0,0.0,0.0
128,SDM,Van Damme,fr,1/14/21,0.745,0.795,-5.563,0,0.133,0.22,0.0,0.084,0.499,122.295,221893,4,fr,"['fr', 'en', 'es']",0.931818182,0.022727273,0.022727273
129,SCH,Assoces,fr,1/14/21,0.644,0.755,-5.884,0,0.243,0.13,7.03e-06,0.092,0.693,195.177,151587,4,fr,"['fr', 'en']",0.972972973,0.027027027,0.0
130,Major Lazer,Titans (feat. Sia & Labrinth),fr,1/14/21,0.722,0.858,-4.892,1,0.0999,0.0445,0.000175,0.144,0.599,93.976,199169,4,en,"['en', 'ar', 'hr']",0.680851064,0.170212766,0.14893617
131,DaBaby,ROCKSTAR (feat. Roddy Ricch),fr,1/14/21,0.746,0.69,-7.956,1,0.247,0.164,0.0,0.101,0.497,89.977,181733,4,en,['en'],1.0,0.0,0.0
132,PNL,Au DD,fr,1/14/21,0.777,0.698,-7.706,0,0.293,0.0704,2.32e-05,0.0908,0.119,119.963,247161,4,fr,"['fr', 'haw', 'co']",0.915492958,0.056338028,0.014084507
133,"Niro, PLK",Fils 2,fr,1/14/21,0.798,0.703,-8.007,1,0.226,0.254,1.4e-05,0.396,0.687,116.964,221120,4,fr,"['fr', 'en']",0.944444444,0.055555556,0.0
